codigocurva;tenor;DF
CURVA_TABCLP1M;1828;0,703099977
CURVA_TABCLP1M;2193;0,669640673
CURVA_TABCLP1M;2558;0,636113436
CURVA_TABCLP1M;2925;0,603714009
CURVA_TABCLP1M;3290;0,571347648
CURVA_TABCLP1M;3654;0,540364518
CURVA_TABCLP1M;4385;0,47886738
CURVA_TABCLP1M;5481;0,396807846
CURVA_TABCLP1M;7308;0,287520915
CURVA_TABCLP1Y;1;0,999704489
CURVA_TABCLP1Y;2;0,999409066
CURVA_TABCLP1Y;367;0,897458849
CURVA_TABCLP1Y;552;0,863605564
CURVA_TABCLP1Y;734;0,823240303
CURVA_TABCLP1Y;1098;0,775506498
CURVA_TABCLP1Y;1463;0,743513332
CURVA_TABCLP1Y;1828;0,715007567
CURVA_TABCLP1Y;2193;0,683564391
CURVA_TABCLP1Y;2558;0,651802448
CURVA_TABCLP1Y;2925;0,620963593
CURVA_TABCLP1Y;3290;0,589900183
CURVA_TABCLP1Y;3654;0,560020609
CURVA_TABCLP1Y;4385;0,500050408
CURVA_TABCLP1Y;5481;0,419072415
CURVA_TABCLP1Y;7308;0,309423713
CURVA_TABCLP3M;1;0,999695476
CURVA_TABCLP3M;2;0,999391045
CURVA_TABCLP3M;94;0,971116158
CURVA_TABCLP3M;188;0,944947202
CURVA_TABCLP3M;367;0,898732593
CURVA_TABCLP3M;552;0,861548332
CURVA_TABCLP3M;734;0,820465319
CURVA_TABCLP3M;1098;0,771179172
CURVA_TABCLP3M;1463;0,737605234
CURVA_TABCLP3M;1828;0,707601913
CURVA_TABCLP3M;2193;0,674832601
CURVA_TABCLP3M;2558;0,641905752
CURVA_TABCLP3M;2925;0,610033801
CURVA_TABCLP3M;3290;0,578101439
CURVA_TABCLP3M;3654;0,547481523
CURVA_TABCLP3M;4385;0,486466709
CURVA_TABCLP3M;5481;0,404712268
CURVA_TABCLP3M;7308;0,295194625
CURVA_TABCLP6M;1;0,999698224
CURVA_TABCLP6M;2;0,999396538
CURVA_TABCLP6M;188;0,943207667
CURVA_TABCLP6M;367;0,899785311
CURVA_TABCLP6M;552;0,863229751
CURVA_TABCLP6M;734;0,822762157
CURVA_TABCLP6M;1098;0,774657348
CURVA_TABCLP6M;1463;0,742224782
CURVA_TABCLP6M;1828;0,71328342
CURVA_TABCLP6M;2193;0,681440841
CURVA_TABCLP6M;2558;0,649324627
CURVA_TABCLP6M;2925;0,618169158
CURVA_TABCLP6M;3290;0,586833071
CURVA_TABCLP6M;3654;0,556717488
CURVA_TABCLP6M;4385;0,496394394
CURVA_TABCLP6M;5481;0,415123139
CURVA_TABCLP6M;7308;0,305416991
